iter	Logloss
0	0.4357394067
1	0.2711086914
2	0.1590490192
3	0.09681725189
4	0.05988176254
5	0.03908818237
6	0.02458419876
7	0.01606527885
8	0.01079446609
9	0.007547844105
10	0.005409804916
11	0.003980280371
12	0.003033209963
13	0.002297941027
14	0.00179246881
15	0.001438537102
16	0.001147261071
17	0.0009245983648
18	0.0007574323606
19	0.0006269334769
20	0.0005270057607
21	0.0004478338289
22	0.0003846752894
23	0.0003306916642
24	0.0002872042817
25	0.0002517213154
26	0.0002199400997
27	0.0001955431348
28	0.0001753373486
29	0.0001580526906
30	0.0001429712307
31	0.0001302817872
32	0.0001188983244
33	0.0001080669022
34	9.942777842e-05
35	9.230254412e-05
36	8.526186705e-05
37	7.887313351e-05
38	7.349698186e-05
39	6.869161278e-05
40	6.450634584e-05
41	6.088225082e-05
42	5.754750073e-05
43	5.75466831e-05
44	5.75466831e-05
45	5.75466831e-05
46	5.448907286e-05
47	5.167393297e-05
48	5.167342752e-05
49	5.167342752e-05
50	4.919205531e-05
51	4.676269695e-05
52	4.676269695e-05
53	4.676269695e-05
54	4.675996646e-05
55	4.676087722e-05
56	4.676087722e-05
57	4.675990075e-05
58	4.675990075e-05
59	4.675990075e-05
60	4.675990075e-05
61	4.675930575e-05
62	4.675828189e-05
63	4.675828189e-05
64	4.675828189e-05
65	4.675828189e-05
66	4.675359443e-05
67	4.675359443e-05
68	4.675443009e-05
69	4.67538327e-05
70	4.67538327e-05
71	4.675218582e-05
72	4.675160512e-05
73	4.675135612e-05
74	4.674548268e-05
75	4.674601391e-05
76	4.674601391e-05
77	4.674601391e-05
78	4.674601391e-05
79	4.674601391e-05
80	4.674741834e-05
81	4.67484723e-05
82	4.674575642e-05
83	4.674310431e-05
84	4.674310431e-05
85	4.674310431e-05
86	4.674310431e-05
87	4.673870817e-05
88	4.674113855e-05
89	4.674139231e-05
90	4.674139231e-05
91	4.674133569e-05
92	4.674133569e-05
93	4.674133569e-05
94	4.674133569e-05
95	4.674133569e-05
96	4.673496261e-05
97	4.673616543e-05
98	4.673616543e-05
99	4.673511326e-05
100	4.673511326e-05
101	4.673511326e-05
102	4.673697516e-05
103	4.673719108e-05
104	4.673490584e-05
105	4.673490584e-05
106	4.673538357e-05
107	4.673538357e-05
108	4.673249692e-05
109	4.673249692e-05
110	4.672411129e-05
111	4.672398537e-05
112	4.672366947e-05
113	4.672445208e-05
114	4.672445208e-05
115	4.672106192e-05
116	4.672201648e-05
117	4.672201648e-05
118	4.672201648e-05
119	4.671937764e-05
120	4.671939403e-05
121	4.671939403e-05
122	4.671781763e-05
123	4.671742395e-05
124	4.671704501e-05
125	4.671704501e-05
126	4.67139405e-05
127	4.67139405e-05
128	4.671364695e-05
129	4.671571165e-05
130	4.671571165e-05
131	4.671398625e-05
132	4.671309695e-05
133	4.67115818e-05
134	4.6713029e-05
135	4.670723081e-05
136	4.670342758e-05
137	4.670342758e-05
138	4.670384526e-05
139	4.670853823e-05
140	4.670603096e-05
141	4.670322791e-05
142	4.670322791e-05
143	4.669674695e-05
144	4.669848382e-05
145	4.669671953e-05
146	4.669671953e-05
147	4.669671953e-05
148	4.669671953e-05
149	4.669601887e-05
150	4.669486746e-05
151	4.669486746e-05
152	4.669315308e-05
153	4.669313073e-05
154	4.669092238e-05
155	4.669357985e-05
156	4.669357985e-05
157	4.669357985e-05
158	4.66894193e-05
159	4.66901359e-05
160	4.668970048e-05
161	4.668970048e-05
162	4.668970048e-05
163	4.668788835e-05
164	4.668781608e-05
165	4.668781608e-05
166	4.668902963e-05
167	4.668902963e-05
168	4.668902963e-05
169	4.669012159e-05
170	4.669012159e-05
171	4.668606609e-05
172	4.668606609e-05
173	4.668606609e-05
174	4.668643996e-05
175	4.668533489e-05
176	4.668533489e-05
177	4.668533489e-05
178	4.6687226e-05
179	4.66818662e-05
180	4.668196589e-05
181	4.668196589e-05
182	4.667907372e-05
183	4.668369576e-05
184	4.667817816e-05
185	4.668084785e-05
186	4.668084785e-05
187	4.667702198e-05
188	4.667702198e-05
189	4.667699546e-05
190	4.66751568e-05
191	4.66751568e-05
192	4.667278484e-05
193	4.667278484e-05
194	4.667278484e-05
195	4.667278484e-05
196	4.667010441e-05
197	4.667010441e-05
198	4.667202711e-05
199	4.667329192e-05
200	4.666646957e-05
201	4.666392609e-05
202	4.666392609e-05
203	4.666392609e-05
204	4.666392609e-05
205	4.666450948e-05
206	4.666450948e-05
207	4.66625464e-05
208	4.66625464e-05
209	4.66615811e-05
210	4.666466519e-05
211	4.666330025e-05
212	4.666330025e-05
213	4.665934637e-05
214	4.666294798e-05
215	4.666294798e-05
216	4.666294798e-05
217	4.666294798e-05
218	4.666043982e-05
219	4.666044399e-05
220	4.665888384e-05
221	4.665309668e-05
222	4.665391669e-05
223	4.665391669e-05
224	4.665391669e-05
225	4.665796027e-05
226	4.665020376e-05
227	4.664970383e-05
228	4.665371254e-05
229	4.665371254e-05
230	4.665371254e-05
231	4.664870799e-05
232	4.664621815e-05
233	4.664621815e-05
234	4.665084794e-05
235	4.664909542e-05
236	4.665151e-05
237	4.664794743e-05
238	4.664319307e-05
239	4.664817318e-05
240	4.664469749e-05
241	4.664626539e-05
242	4.664626539e-05
243	4.664451316e-05
244	4.664593488e-05
245	4.664042607e-05
246	4.664042607e-05
247	4.664042607e-05
248	4.663846865e-05
249	4.663846865e-05
250	4.663846865e-05
251	4.663846865e-05
252	4.66424185e-05
253	4.66424185e-05
254	4.663953096e-05
255	4.664030194e-05
256	4.663993597e-05
257	4.663993597e-05
258	4.663993597e-05
259	4.663891017e-05
260	4.663891017e-05
261	4.663891017e-05
262	4.663755521e-05
263	4.663701236e-05
264	4.663429096e-05
265	4.663211077e-05
266	4.663211077e-05
267	4.663211077e-05
268	4.663888648e-05
269	4.663888648e-05
270	4.663180739e-05
271	4.663298905e-05
272	4.663298905e-05
273	4.663298905e-05
274	4.663169622e-05
275	4.663169622e-05
276	4.663171262e-05
277	4.663171262e-05
278	4.663171262e-05
279	4.663135663e-05
280	4.663135663e-05
281	4.663135663e-05
282	4.662754029e-05
283	4.663244233e-05
284	4.663021401e-05
285	4.663021401e-05
286	4.663021401e-05
287	4.663021401e-05
288	4.663021401e-05
289	4.663021401e-05
